Account,Day,Details,Amount,Balance
Marketing campaigns for Katalytica,176,Marketing,-500.0,298648.4
Marketing campaigns for Karvin Kueen,176,Marketing,-500.0,298148.4
Marketing campaigns for Elite Jewels,176,Marketing,-6500.0,291648.4
Evie Jones (Katalytica Daily Wage),176,Wage,-448.0,259119.1
Lily Barton (Katalytica Daily Wage),176,Wage,-344.0,258775.1
Zoe Gomez (Elite Jewels Daily Wage),176,Wage,-256.0,258519.1
Tommy Brooks (Katalytica Daily Wage),176,Wage,-44.0,258475.1
Katherine Moss (Elite Jewels Daily Wage),176,Wage,-200.0,258051.1
Maria Willis (Karvin Kueen Daily Wage),176,Wage,-200.0,257497.2
Lindsey Richardson (Elite Jewels Daily Wage),176,Wage,-150.0,257347.2
Olivia Cox (Katalytica Daily Wage),176,Wage,-432.0,256915.2
Maya Turner (Karvin Kueen Daily Wage),176,Wage,-32.0,256883.2
Oscar Evans (Katar Spirits Daily Wage),176,Wage,-46.0,256613.2
Annabelle Stewart (Katar Spirits Daily Wage),176,Wage,-264.0,256349.2
Traci Parker (Elite Jewels Daily Wage),176,Wage,-78.0,256271.2
Katar Spirits Revenue,176,Revenue,4929.0,261020.0
Katalytica Revenue,176,Revenue,5400.0,266291.9
Karvin Kueen Revenue,176,Revenue,1870.0,268119.8
Elite Jewels Revenue,176,Revenue,40000.0,306961.3
Marketing campaigns for Katar Spirits,177,Marketing,-500.0,306461.3
Marketing campaigns for Katalytica,177,Marketing,-500.0,305961.3
Marketing campaigns for Karvin Kueen,177,Marketing,-500.0,305461.3
Marketing campaigns for Elite Jewels,177,Marketing,-6500.0,298961.3
Evie Jones (Katalytica Daily Wage),177,Wage,-448.0,284639.6
Lily Barton (Katalytica Daily Wage),177,Wage,-344.0,284295.6
Zoe Gomez (Elite Jewels Daily Wage),177,Wage,-256.0,284039.6
Tommy Brooks (Katalytica Daily Wage),177,Wage,-44.0,283995.6
Katherine Moss (Elite Jewels Daily Wage),177,Wage,-200.0,283387.6
Maria Willis (Karvin Kueen Daily Wage),177,Wage,-200.0,282833.7
Lindsey Richardson (Elite Jewels Daily Wage),177,Wage,-200.0,282633.7
Olivia Cox (Katalytica Daily Wage),177,Wage,-432.0,282201.7
Maya Turner (Karvin Kueen Daily Wage),177,Wage,-32.0,282169.7
Oscar Evans (Katar Spirits Daily Wage),177,Wage,-46.0,281899.7
Annabelle Stewart (Katar Spirits Daily Wage),177,Wage,-264.0,281635.7
Katar Spirits Revenue,177,Revenue,4857.0,286312.6
Katalytica Revenue,177,Revenue,5400.0,291584.4
Karvin Kueen Revenue,177,Revenue,1870.0,293412.3
Elite Jewels Revenue,177,Revenue,47500.0,339618.3
Marketing campaigns for Katar Spirits,178,Marketing,-500.0,339118.3
Marketing campaigns for Katalytica,178,Marketing,-500.0,338618.3
Marketing campaigns for Karvin Kueen,178,Marketing,-500.0,338118.3
Marketing campaigns for Elite Jewels,178,Marketing,-6500.0,331618.3
Evie Jones (Katalytica Daily Wage),178,Wage,-448.0,224191.9
Tommy Brooks (Katalytica Daily Wage),178,Wage,-44.0,224147.9
Maria Willis (Karvin Kueen Daily Wage),178,Wage,-200.0,223186.0
Lindsey Richardson (Elite Jewels Daily Wage),178,Wage,-200.0,222986.0
Olivia Cox (Katalytica Daily Wage),178,Wage,-432.0,222554.0
Tristan Barker (Katalytica Daily Wage),178,Wage,-536.0,222018.0
Maya Turner (Karvin Kueen Daily Wage),178,Wage,-32.0,221986.0
Oscar Evans (Katar Spirits Daily Wage),178,Wage,-46.0,221716.0
Annabelle Stewart (Katar Spirits Daily Wage),178,Wage,-264.0,221452.0
Curtis Norris (Elite Jewels Daily Wage),178,Wage,-184.0,221268.0
Dominic Fisher (Elite Jewels Daily Wage),178,Wage,-184.0,221040.0
Katar Spirits Revenue,178,Revenue,4050.0,224893.9
Katalytica Revenue,178,Revenue,5400.0,230165.8
Karvin Kueen Revenue,178,Revenue,1275.0,231398.6
Elite Jewels Revenue,178,Revenue,40000.0,270104.7
Marketing campaigns for Katar Spirits,179,Marketing,-500.0,269604.7
Marketing campaigns for Katalytica,179,Marketing,-500.0,269104.7
Marketing campaigns for Karvin Kueen,179,Marketing,-500.0,268604.7
Marketing campaigns for Elite Jewels,179,Marketing,-6500.0,262104.7
Marketing campaigns for Elite Couture,179,Marketing,-2500.0,259321.7
Marketing campaigns for Elite Couture,179,Marketing,-6000.0,253321.7
Marketing campaigns for Elite Couture,179,Marketing,-500.0,252821.7
Marketing campaigns for Elite Couture,179,Marketing,-100.0,252721.7
Marketing campaigns for Elite Couture,179,Marketing,-250.0,252471.7
Marketing campaigns for Elite Couture,179,Marketing,-500.0,251971.7
Evie Jones (Katalytica Daily Wage),179,Wage,-448.0,252275.4
Tommy Brooks (Katalytica Daily Wage),179,Wage,-44.0,252231.4
Maria Willis (Karvin Kueen Daily Wage),179,Wage,-200.0,251269.5
Lindsey Richardson (Elite Jewels Daily Wage),179,Wage,-200.0,251069.5
Olivia Cox (Katalytica Daily Wage),179,Wage,-432.0,250637.5
Tristan Barker (Katalytica Daily Wage),179,Wage,-536.0,250101.5
Maya Turner (Karvin Kueen Daily Wage),179,Wage,-32.0,250069.5
Oscar Evans (Katar Spirits Daily Wage),179,Wage,-46.0,249799.5
Annabelle Stewart (Katar Spirits Daily Wage),179,Wage,-198.0,249601.5
Abbie Lopez (Katar Spirits Daily Wage),179,Wage,-56.0,249545.5
Curtis Norris (Elite Jewels Daily Wage),179,Wage,-184.0,249361.5
Dominic Fisher (Elite Jewels Daily Wage),179,Wage,-184.0,249133.5
Lilly Harris (Elite Couture Daily Wage),179,Wage,-144.0,248989.5
Lara Wright (Elite Couture Daily Wage),179,Wage,-232.0,248757.5
Katar Spirits Revenue,179,Revenue,4857.0,253478.4
Katalytica Revenue,179,Revenue,5400.0,258750.3
Karvin Kueen Revenue,179,Revenue,1870.0,260578.1
Elite Couture Revenue,179,Revenue,19814.0,280256.7
Elite Jewels Revenue,179,Revenue,40000.0,319098.2
Marketing campaigns for Katar Spirits,180,Marketing,-500.0,318598.2
Marketing campaigns for Katalytica,180,Marketing,-500.0,318098.2
Marketing campaigns for Karvin Kueen,180,Marketing,-500.0,317598.2
Marketing campaigns for Elite Couture,180,Marketing,-1350.0,316248.2
Marketing campaigns for Elite Jewels,180,Marketing,-6500.0,309748.2
Evie Jones (Katalytica Daily Wage),180,Wage,-448.0,309300.2
Lily Barton (Katalytica Daily Wage),180,Wage,-344.0,308956.2
Zoe Gomez (Elite Jewels Daily Wage),180,Wage,-256.0,308700.2
Tommy Brooks (Katalytica Daily Wage),180,Wage,-44.0,308656.2
Maria Willis (Karvin Kueen Daily Wage),180,Wage,-100.0,307794.3
Tristan Barker (Katalytica Daily Wage),180,Wage,-402.0,307392.3
Maya Turner (Karvin Kueen Daily Wage),180,Wage,-160.0,307232.3
Oscar Evans (Katar Spirits Daily Wage),180,Wage,-46.0,306962.3
Abbie Lopez (Katar Spirits Daily Wage),180,Wage,-224.0,306738.3
Traci Parker (Elite Jewels Daily Wage),180,Wage,-286.0,306452.3
Dominic Fisher (Elite Jewels Daily Wage),180,Wage,-184.0,306224.3
Frederick Kelly (Elite Couture Daily Wage),180,Wage,-27.0,306197.3
Lilly Harris (Elite Couture Daily Wage),180,Wage,-288.0,305909.3
Lara Wright (Elite Couture Daily Wage),180,Wage,-232.0,305677.3
Katar Spirits Revenue,180,Revenue,5208.0,310749.2
Katalytica Revenue,180,Revenue,12600.0,323221.1
Karvin Kueen Revenue,180,Revenue,1870.0,325048.9
Elite Couture Revenue,180,Revenue,35500.0,360413.5
Elite Jewels Revenue,180,Revenue,45000.0,404255.0
Marketing campaigns for Katar Spirits,181,Marketing,-500.0,403755.0
Marketing campaigns for Katalytica,181,Marketing,-500.0,403255.0
Marketing campaigns for Karvin Kueen,181,Marketing,-500.0,402755.0
Marketing campaigns for Elite Couture,181,Marketing,-1350.0,401405.0
Marketing campaigns for Elite Jewels,181,Marketing,-6500.0,394905.0
Evie Jones (Katalytica Daily Wage),181,Wage,-448.0,387355.7
Tommy Brooks (Katalytica Daily Wage),181,Wage,-44.0,387311.7
Katherine Moss (Elite Jewels Daily Wage),181,Wage,-200.0,387111.7
Maria Willis (Karvin Kueen Daily Wage),181,Wage,-100.0,386857.8
Olivia Cox (Katalytica Daily Wage),181,Wage,-432.0,386425.8
Maya Turner (Karvin Kueen Daily Wage),181,Wage,-160.0,386265.8
Oscar Evans (Katar Spirits Daily Wage),181,Wage,-46.0,386219.8
Abbie Lopez (Katar Spirits Daily Wage),181,Wage,-224.0,385995.8
Traci Parker (Elite Jewels Daily Wage),181,Wage,-208.0,385787.8
Dominic Fisher (Elite Jewels Daily Wage),181,Wage,-184.0,385603.8
Frederick Kelly (Elite Couture Daily Wage),181,Wage,-270.0,385333.8
Lara Wright (Elite Couture Daily Wage),181,Wage,-232.0,385101.8
Katar Spirits Revenue,181,Revenue,6408.0,391373.7
Katalytica Revenue,181,Revenue,10800.0,402045.6
Karvin Kueen Revenue,181,Revenue,2210.0,404213.4
Elite Couture Revenue,181,Revenue,37750.0,441828.0
Elite Jewels Revenue,181,Revenue,60000.0,500669.5
Marketing campaigns for Katar Spirits,182,Marketing,-500.0,469150.8
Marketing campaigns for Katalytica,182,Marketing,-500.0,468650.8
Marketing campaigns for Karvin Kueen,182,Marketing,-500.0,468150.8
Marketing campaigns for Elite Couture,182,Marketing,-1350.0,466800.8
Marketing campaigns for Elite Jewels,182,Marketing,-6500.0,460300.8
Marketing campaigns for Elite Jewels,182,Marketing,-500.0,459800.8
Marketing campaigns for Elite Jewels,182,Marketing,-2500.0,457300.8
Marketing campaigns for Elite Jewels,182,Marketing,-100.0,457200.8
Marketing campaigns for Elite Jewels,182,Marketing,-250.0,456950.8
Lily Barton (Katalytica Daily Wage),182,Wage,-258.0,455192.8
Tommy Brooks (Katalytica Daily Wage),182,Wage,-44.0,455148.8
Maria Willis (Karvin Kueen Daily Wage),182,Wage,-75.0,454919.9
Olivia Cox (Katalytica Daily Wage),182,Wage,-432.0,454487.9
Tristan Barker (Katalytica Daily Wage),182,Wage,-536.0,453951.9
Oscar Evans (Katar Spirits Daily Wage),182,Wage,-46.0,453905.9
Abbie Lopez (Katar Spirits Daily Wage),182,Wage,-224.0,453681.9
Curtis Norris (Elite Jewels Daily Wage),182,Wage,-184.0,453497.9
Traci Parker (Elite Jewels Daily Wage),182,Wage,-208.0,453289.9
Dominic Fisher (Elite Jewels Daily Wage),182,Wage,-184.0,453105.9
Frederick Kelly (Elite Couture Daily Wage),182,Wage,-243.0,452862.9
Lara Wright (Elite Couture Daily Wage),182,Wage,-232.0,452630.9
Katar Spirits Revenue,182,Revenue,3924.0,456418.8
Katalytica Revenue,182,Revenue,10800.0,467090.7
Karvin Kueen Revenue,182,Revenue,1020.0,468068.5
Elite Couture Revenue,182,Revenue,37750.0,505683.1
Elite Jewels Revenue,182,Revenue,60000.0,564524.6
Marketing campaigns for Katar Spirits,183,Marketing,-500.0,564024.6
Marketing campaigns for Katalytica,183,Marketing,-500.0,563524.6
Marketing campaigns for Karvin Kueen,183,Marketing,-500.0,563024.6
Marketing campaigns for Elite Couture,183,Marketing,-1350.0,561674.6
Marketing campaigns for Elite Jewels,183,Marketing,-9350.0,552324.6
Evie Jones (Katalytica Daily Wage),183,Wage,-448.0,491114.9
Lily Barton (Katalytica Daily Wage),183,Wage,-344.0,490770.9
Zoe Gomez (Elite Jewels Daily Wage),183,Wage,-256.0,490514.9
Tommy Brooks (Katalytica Daily Wage),183,Wage,-44.0,490470.9
Katherine Moss (Elite Jewels Daily Wage),183,Wage,-250.0,489812.9
Maria Willis (Karvin Kueen Daily Wage),183,Wage,-200.0,489259.0
Lindsey Richardson (Elite Jewels Daily Wage),183,Wage,-275.0,488984.0
Olivia Cox (Katalytica Daily Wage),183,Wage,-432.0,488552.0
Maya Turner (Karvin Kueen Daily Wage),183,Wage,-32.0,488520.0
Oscar Evans (Katar Spirits Daily Wage),183,Wage,-46.0,488250.0
Annabelle Stewart (Katar Spirits Daily Wage),183,Wage,-264.0,487986.0
Traci Parker (Elite Jewels Daily Wage),183,Wage,-78.0,487908.0
Lara Wright (Elite Couture Daily Wage),183,Wage,-232.0,487632.0
Scarlett Davis (Elite Couture Daily Wage),183,Wage,-297.0,487335.0
Christen Butler (Elite Jewels Daily Wage),183,Wage,-240.0,487095.0
Katie Ward (Elite Jewels Daily Wage),183,Wage,-192.0,486903.0
Katar Spirits Revenue,183,Revenue,3309.0,490075.9
Katalytica Revenue,183,Revenue,5400.0,495347.8
Karvin Kueen Revenue,183,Revenue,2720.0,498025.6
Elite Couture Revenue,183,Revenue,34750.0,532640.2
Elite Jewels Revenue,183,Revenue,130000.0,661481.7
Marketing campaigns for Katar Spirits,184,Marketing,-500.0,258797.0
Marketing campaigns for Katalytica,184,Marketing,-500.0,258297.0
Marketing campaigns for Karvin Kueen,184,Marketing,-500.0,257797.0
Marketing campaigns for Elite Couture,184,Marketing,-1350.0,256447.0
Marketing campaigns for Elite Jewels,184,Marketing,-9350.0,247097.0
Evie Jones (Katalytica Daily Wage),184,Wage,-448.0,246649.0
Lily Barton (Katalytica Daily Wage),184,Wage,-344.0,246305.0
Zoe Gomez (Elite Jewels Daily Wage),184,Wage,-256.0,246049.0
Tommy Brooks (Katalytica Daily Wage),184,Wage,-44.0,246005.0
Katherine Moss (Elite Jewels Daily Wage),184,Wage,-200.0,245397.0
Maria Willis (Karvin Kueen Daily Wage),184,Wage,-200.0,244843.1
Lindsey Richardson (Elite Jewels Daily Wage),184,Wage,-200.0,244643.1
Olivia Cox (Katalytica Daily Wage),184,Wage,-432.0,244211.1
Maya Turner (Karvin Kueen Daily Wage),184,Wage,-32.0,244179.1
Oscar Evans (Katar Spirits Daily Wage),184,Wage,-46.0,243909.1
Annabelle Stewart (Katar Spirits Daily Wage),184,Wage,-264.0,243645.1
Frederick Kelly (Elite Couture Daily Wage),184,Wage,-54.0,243547.1
Lilly Harris (Elite Couture Daily Wage),184,Wage,-216.0,243331.1
Lara Wright (Elite Couture Daily Wage),184,Wage,-232.0,243099.1
Scarlett Davis (Elite Couture Daily Wage),184,Wage,-132.0,242967.1
Christen Butler (Elite Jewels Daily Wage),184,Wage,-240.0,242727.1
Katie Ward (Elite Jewels Daily Wage),184,Wage,-256.0,242471.1
Katar Spirits Revenue,184,Revenue,3213.0,245548.0
Katalytica Revenue,184,Revenue,5400.0,250819.8
Karvin Kueen Revenue,184,Revenue,2720.0,253497.6
Elite Couture Revenue,184,Revenue,31750.0,285112.3
Elite Jewels Revenue,184,Revenue,130000.0,413953.8
Marketing campaigns for Katar Spirits,185,Marketing,-500.0,413453.8
Marketing campaigns for Katalytica,185,Marketing,-500.0,412953.8
Marketing campaigns for Karvin Kueen,185,Marketing,-500.0,412453.8
Marketing campaigns for Elite Couture,185,Marketing,-1350.0,411103.8
Marketing campaigns for Elite Jewels,185,Marketing,-9350.0,401753.8
Evie Jones (Katalytica Daily Wage),185,Wage,-448.0,281766.0
Tommy Brooks (Katalytica Daily Wage),185,Wage,-44.0,281722.0
Maria Willis (Karvin Kueen Daily Wage),185,Wage,-200.0,280760.1
Lindsey Richardson (Elite Jewels Daily Wage),185,Wage,-200.0,280560.1
Olivia Cox (Katalytica Daily Wage),185,Wage,-432.0,280128.1
Tristan Barker (Katalytica Daily Wage),185,Wage,-536.0,279592.1
Maya Turner (Karvin Kueen Daily Wage),185,Wage,-32.0,279560.1
Oscar Evans (Katar Spirits Daily Wage),185,Wage,-46.0,279290.1
Annabelle Stewart (Katar Spirits Daily Wage),185,Wage,-264.0,279026.1
Curtis Norris (Elite Jewels Daily Wage),185,Wage,-184.0,278842.1
Dominic Fisher (Elite Jewels Daily Wage),185,Wage,-184.0,278614.1
Frederick Kelly (Elite Couture Daily Wage),185,Wage,-54.0,278560.1
Lilly Harris (Elite Couture Daily Wage),185,Wage,-216.0,278344.1
Lara Wright (Elite Couture Daily Wage),185,Wage,-232.0,278112.1
Scarlett Davis (Elite Couture Daily Wage),185,Wage,-66.0,278046.1
Christen Butler (Elite Jewels Daily Wage),185,Wage,-240.0,277806.1
Katie Ward (Elite Jewels Daily Wage),185,Wage,-256.0,277550.1
Bradley Turner (Karvin Kueen Daily Wage),185,Wage,-240.0,277310.1
Katar Spirits Revenue,185,Revenue,2973.0,280147.0
Katalytica Revenue,185,Revenue,5400.0,285418.9
Karvin Kueen Revenue,185,Revenue,3485.0,288861.7
Elite Couture Revenue,185,Revenue,28750.0,317476.3
Elite Jewels Revenue,185,Revenue,112500.0,428817.8
Marketing campaigns for Katar Spirits,186,Marketing,-500.0,428317.8
Marketing campaigns for Katalytica,186,Marketing,-500.0,427817.8
Marketing campaigns for Karvin Kueen,186,Marketing,-500.0,427317.8
Marketing campaigns for Elite Couture,186,Marketing,-1350.0,425967.8
Marketing campaigns for Elite Jewels,186,Marketing,-9350.0,416617.8
Evie Jones (Katalytica Daily Wage),186,Wage,-448.0,416169.8
Tommy Brooks (Katalytica Daily Wage),186,Wage,-44.0,416125.8
Maria Willis (Karvin Kueen Daily Wage),186,Wage,-200.0,415163.9
Lindsey Richardson (Elite Jewels Daily Wage),186,Wage,-200.0,414963.9
Olivia Cox (Katalytica Daily Wage),186,Wage,-432.0,414531.9
Tristan Barker (Katalytica Daily Wage),186,Wage,-536.0,413995.9
Maya Turner (Karvin Kueen Daily Wage),186,Wage,-32.0,413963.9
Oscar Evans (Katar Spirits Daily Wage),186,Wage,-46.0,413693.9
Annabelle Stewart (Katar Spirits Daily Wage),186,Wage,-198.0,413495.9
Abbie Lopez (Katar Spirits Daily Wage),186,Wage,-56.0,413439.9
Curtis Norris (Elite Jewels Daily Wage),186,Wage,-184.0,413255.9
Dominic Fisher (Elite Jewels Daily Wage),186,Wage,-184.0,413027.9
Frederick Kelly (Elite Couture Daily Wage),186,Wage,-27.0,413000.9
Lilly Harris (Elite Couture Daily Wage),186,Wage,-288.0,412712.9
Scarlett Davis (Elite Couture Daily Wage),186,Wage,-264.0,412448.9
Christen Butler (Elite Jewels Daily Wage),186,Wage,-240.0,412208.9
Katie Ward (Elite Jewels Daily Wage),186,Wage,-256.0,411952.9
Bradley Turner (Karvin Kueen Daily Wage),186,Wage,-240.0,411712.9
Katar Spirits Revenue,186,Revenue,4506.0,416082.8
Katalytica Revenue,186,Revenue,4500.0,420454.7
Karvin Kueen Revenue,186,Revenue,4080.0,424492.5
Elite Couture Revenue,186,Revenue,31750.0,456107.1
Elite Jewels Revenue,186,Revenue,130000.0,584948.6
Marketing campaigns for Katar Spirits,187,Marketing,-500.0,584448.6
Marketing campaigns for Katalytica,187,Marketing,-500.0,583948.6
Marketing campaigns for Karvin Kueen,187,Marketing,-500.0,583448.6
Marketing campaigns for Elite Couture,187,Marketing,-1350.0,582098.6
Marketing campaigns for Elite Jewels,187,Marketing,-9350.0,572748.6
Evie Jones (Katalytica Daily Wage),187,Wage,-448.0,572300.6
Lily Barton (Katalytica Daily Wage),187,Wage,-344.0,571956.6
Zoe Gomez (Elite Jewels Daily Wage),187,Wage,-256.0,571700.6
Tommy Brooks (Katalytica Daily Wage),187,Wage,-44.0,571656.6
Maria Willis (Karvin Kueen Daily Wage),187,Wage,-125.0,570769.7
Tristan Barker (Katalytica Daily Wage),187,Wage,-402.0,570367.7
Maya Turner (Karvin Kueen Daily Wage),187,Wage,-32.0,570335.7
Oscar Evans (Katar Spirits Daily Wage),187,Wage,-46.0,570065.7
Abbie Lopez (Katar Spirits Daily Wage),187,Wage,-224.0,569841.7
Traci Parker (Elite Jewels Daily Wage),187,Wage,-286.0,569555.7
Dominic Fisher (Elite Jewels Daily Wage),187,Wage,-368.0,569143.7
Frederick Kelly (Elite Couture Daily Wage),187,Wage,-27.0,569116.7
Lilly Harris (Elite Couture Daily Wage),187,Wage,-288.0,568828.7
Scarlett Davis (Elite Couture Daily Wage),187,Wage,-264.0,568564.7
Christen Butler (Elite Jewels Daily Wage),187,Wage,-240.0,568324.7
Bradley Turner (Karvin Kueen Daily Wage),187,Wage,-240.0,568084.7
Justin Mitchell (Karvin Kueen Daily Wage),187,Wage,-104.0,567980.7
Katar Spirits Revenue,187,Revenue,4650.0,572494.6
Katalytica Revenue,187,Revenue,3000.0,575366.5
Karvin Kueen Revenue,187,Revenue,4420.0,579744.3
Elite Couture Revenue,187,Revenue,37500.0,617108.9
Elite Jewels Revenue,187,Revenue,137500.0,753450.4
Marketing campaigns for Katar Spirits,188,Marketing,-500.0,752950.4
Marketing campaigns for Katalytica,188,Marketing,-500.0,752450.4
Marketing campaigns for Karvin Kueen,188,Marketing,-500.0,751950.4
Marketing campaigns for Elite Couture,188,Marketing,-1350.0,750600.4
Marketing campaigns for Elite Jewels,188,Marketing,-9350.0,741250.4
Evie Jones (Katalytica Daily Wage),188,Wage,-448.0,740802.4
Tommy Brooks (Katalytica Daily Wage),188,Wage,-44.0,740758.4
Katherine Moss (Elite Jewels Daily Wage),188,Wage,-200.0,740558.4
Maria Willis (Karvin Kueen Daily Wage),188,Wage,-100.0,740304.5
Olivia Cox (Katalytica Daily Wage),188,Wage,-432.0,739872.5
Oscar Evans (Katar Spirits Daily Wage),188,Wage,-46.0,739826.5
Abbie Lopez (Katar Spirits Daily Wage),188,Wage,-224.0,739602.5
Curtis Norris (Elite Jewels Daily Wage),188,Wage,-184.0,739418.5
Traci Parker (Elite Jewels Daily Wage),188,Wage,-208.0,739210.5
Frederick Kelly (Elite Couture Daily Wage),188,Wage,-216.0,738994.5
Lilly Harris (Elite Couture Daily Wage),188,Wage,-72.0,738922.5
Lara Wright (Elite Couture Daily Wage),188,Wage,-232.0,738690.5
Bradley Turner (Karvin Kueen Daily Wage),188,Wage,-180.0,738510.5
Justin Mitchell (Karvin Kueen Daily Wage),188,Wage,-208.0,738302.5
Katar Spirits Revenue,188,Revenue,6159.0,744325.4
Katalytica Revenue,188,Revenue,7000.0,751197.3
Karvin Kueen Revenue,188,Revenue,5780.0,756935.1
Elite Couture Revenue,188,Revenue,45000.0,801799.7
Elite Jewels Revenue,188,Revenue,67500.0,868141.2
Marketing campaigns for Katar Spirits,189,Marketing,-500.0,862836.9
Marketing campaigns for Katalytica,189,Marketing,-500.0,862336.9
Marketing campaigns for Karvin Kueen,189,Marketing,-500.0,861836.9
Marketing campaigns for Elite Couture,189,Marketing,-1350.0,860486.9
Marketing campaigns for Elite Jewels,189,Marketing,-9350.0,851136.9
Lily Barton (Katalytica Daily Wage),189,Wage,-258.0,850878.9
Tommy Brooks (Katalytica Daily Wage),189,Wage,-44.0,850834.9
Maria Willis (Karvin Kueen Daily Wage),189,Wage,-75.0,850606.1
Olivia Cox (Katalytica Daily Wage),189,Wage,-432.0,850174.1
Tristan Barker (Katalytica Daily Wage),189,Wage,-536.0,849638.1
Maya Turner (Karvin Kueen Daily Wage),189,Wage,-288.0,849350.1
Oscar Evans (Katar Spirits Daily Wage),189,Wage,-46.0,849304.1
Abbie Lopez (Katar Spirits Daily Wage),189,Wage,-224.0,849080.1
Curtis Norris (Elite Jewels Daily Wage),189,Wage,-138.0,848942.1
Traci Parker (Elite Jewels Daily Wage),189,Wage,-234.0,848708.1
Replacement for Dominic Fisher (Elite Jewels Wage),189,ReplacementWage,-460.0,848248.1
Frederick Kelly (Elite Couture Daily Wage),189,Wage,-243.0,848005.1
Lara Wright (Elite Couture Daily Wage),189,Wage,-232.0,847773.1
Christen Butler (Elite Jewels Daily Wage),189,Wage,-300.0,847473.1
Justin Mitchell (Karvin Kueen Daily Wage),189,Wage,-130.0,847343.1
Katar Spirits Revenue,189,Revenue,6039.0,853246.0
Katalytica Revenue,189,Revenue,6000.0,859117.9
Karvin Kueen Revenue,189,Revenue,4420.0,863495.7
Elite Couture Revenue,189,Revenue,37000.0,900360.3
Elite Jewels Revenue,189,Revenue,162500.0,1061702.0
Marketing campaigns for Katar Spirits,190,Marketing,-500.0,1061202.0
Marketing campaigns for Katalytica,190,Marketing,-500.0,1060702.0
Marketing campaigns for Karvin Kueen,190,Marketing,-500.0,1060202.0
Marketing campaigns for Elite Couture,190,Marketing,-1350.0,1058852.0
Marketing campaigns for Elite Jewels,190,Marketing,-9350.0,1049502.0
Evie Jones (Katalytica Daily Wage),190,Wage,-448.0,721608.6
Lily Barton (Katalytica Daily Wage),190,Wage,-344.0,721264.6
Zoe Gomez (Elite Jewels Daily Wage),190,Wage,-256.0,721008.6
Tommy Brooks (Katalytica Daily Wage),190,Wage,-44.0,720964.6
Katherine Moss (Elite Jewels Daily Wage),190,Wage,-250.0,720306.6
Maria Willis (Karvin Kueen Daily Wage),190,Wage,-200.0,719752.7
Lindsey Richardson (Elite Jewels Daily Wage),190,Wage,-150.0,719602.7
Olivia Cox (Katalytica Daily Wage),190,Wage,-432.0,719170.7
Maya Turner (Karvin Kueen Daily Wage),190,Wage,-32.0,719138.7
Oscar Evans (Katar Spirits Daily Wage),190,Wage,-46.0,718868.7
Annabelle Stewart (Katar Spirits Daily Wage),190,Wage,-264.0,718604.7
Lara Wright (Elite Couture Daily Wage),190,Wage,-232.0,718328.7
Scarlett Davis (Elite Couture Daily Wage),190,Wage,-297.0,718031.7
Christen Butler (Elite Jewels Daily Wage),190,Wage,-240.0,717791.7
Katie Ward (Elite Jewels Daily Wage),190,Wage,-192.0,717599.7
Justin Mitchell (Karvin Kueen Daily Wage),190,Wage,-208.0,717391.7
Katar Spirits Revenue,190,Revenue,5136.0,722391.6
Katalytica Revenue,190,Revenue,7000.0,729263.5
Karvin Kueen Revenue,190,Revenue,4420.0,733641.3
Elite Couture Revenue,190,Revenue,31500.0,765005.9
Elite Jewels Revenue,190,Revenue,127500.0,891347.4
Marketing campaigns for Katar Spirits,191,Marketing,-500.0,880907.5
Marketing campaigns for Katalytica,191,Marketing,-500.0,880407.5
Marketing campaigns for Karvin Kueen,191,Marketing,-500.0,879907.5
Marketing campaigns for Elite Couture,191,Marketing,-1350.0,878557.5
Marketing campaigns for Elite Jewels,191,Marketing,-9350.0,869207.5
Evie Jones (Katalytica Daily Wage),191,Wage,-448.0,867759.5
Lily Barton (Katalytica Daily Wage),191,Wage,-344.0,867415.5
Zoe Gomez (Elite Jewels Daily Wage),191,Wage,-256.0,867159.5
Tommy Brooks (Katalytica Daily Wage),191,Wage,-44.0,867115.5
Katherine Moss (Elite Jewels Daily Wage),191,Wage,-200.0,866507.5
Maria Willis (Karvin Kueen Daily Wage),191,Wage,-200.0,865953.6
Lindsey Richardson (Elite Jewels Daily Wage),191,Wage,-200.0,865753.6
Olivia Cox (Katalytica Daily Wage),191,Wage,-432.0,865321.6
Maya Turner (Karvin Kueen Daily Wage),191,Wage,-32.0,865289.6
Oscar Evans (Katar Spirits Daily Wage),191,Wage,-46.0,865243.6
Annabelle Stewart (Katar Spirits Daily Wage),191,Wage,-264.0,864979.6
Frederick Kelly (Elite Couture Daily Wage),191,Wage,-54.0,864881.6
Lilly Harris (Elite Couture Daily Wage),191,Wage,-216.0,864665.6
Lara Wright (Elite Couture Daily Wage),191,Wage,-232.0,864433.6
Scarlett Davis (Elite Couture Daily Wage),191,Wage,-132.0,864301.6
Christen Butler (Elite Jewels Daily Wage),191,Wage,-240.0,864061.6
Katie Ward (Elite Jewels Daily Wage),191,Wage,-256.0,863805.6
Justin Mitchell (Karvin Kueen Daily Wage),191,Wage,-208.0,863597.6
Katar Spirits Revenue,191,Revenue,5001.0,868462.6
Katalytica Revenue,191,Revenue,3000.0,871334.4
Karvin Kueen Revenue,191,Revenue,4080.0,875372.3
Elite Couture Revenue,191,Revenue,29000.0,904236.8
Elite Jewels Revenue,191,Revenue,137500.0,1040578.0
Marketing campaigns for Katar Spirits,192,Marketing,-500.0,1040078.0
